mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.010555505752563477,0.0006754546714227697,0.009419584274291992,0.008290409502851773,gini,3,10,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,91
0.01036376953125,0.001516000904213256,0.006155920028686523,0.001285865302519815,gini,3,10,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,91
0.010076427459716797,0.001578137650993651,0.011235332489013672,0.010387275189488955,gini,3,10,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,91
0.015181970596313477,0.0094723769640856,0.005263614654541016,0.0031247955891097394,gini,3,15,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.9954599056603775,0.9892885220125787,0.9862421383647798,0.9871658805031447,0.9956686839919308,0.9907650261065623,0.0040417367954997995,94
0.008354616165161134,0.0011657998430462707,0.005511188507080078,0.0024146995913519693,gini,3,15,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.9954599056603775,0.9892885220125787,0.9862421383647798,0.9871658805031447,0.9956686839919308,0.9907650261065623,0.0040417367954997995,94
0.00777740478515625,0.0013018113030400322,0.004252958297729492,0.000671888233216241,gini,3,15,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.9954599056603775,0.9892885220125787,0.9862421383647798,0.9871658805031447,0.9956686839919308,0.9907650261065623,0.0040417367954997995,94
0.007668352127075196,0.00032124012213632675,0.004474830627441406,0.0007257968663056682,gini,3,20,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,82
0.007139062881469727,0.0004568686925414921,0.004183244705200195,0.0007168134480006812,gini,3,20,20,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 20}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,82
0.006421136856079102,0.0016293381569492578,0.005717229843139648,0.0020289135055677546,gini,3,20,30,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 30}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,82
0.008073806762695312,0.0011465855309002067,0.004044818878173828,0.001316802767917779,gini,5,10,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.9955385220125786,0.9865959119496854,0.99312106918239,0.992000786163522,0.9931371385625568,0.9920786855741467,0.0029747009742619093,73
0.007916641235351563,0.0011927809579690034,0.004863357543945313,0.0009461665459869164,gini,5,10,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 20}",0.9955385220125786,0.9865959119496854,0.99312106918239,0.992000786163522,0.9931371385625568,0.9920786855741467,0.0029747009742619093,73
0.007865619659423829,0.0008645239994842991,0.004414987564086914,0.0008005164082542502,gini,5,10,30,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 10, 'min_samples_split': 30}",0.9955385220125786,0.9834709119496855,0.99312106918239,0.992000786163522,0.9931173608638899,0.9914497300344131,0.004153499436819443,79
0.007440614700317383,0.00148597363806577,0.004172849655151367,0.001292516936640501,gini,5,15,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 10}",0.9988600628930818,0.9832350628930817,0.9954205974842767,0.9948309748427673,0.9961829041572723,0.993705920454096,0.00541378528029148,46
0.007572078704833984,0.001770204569592973,0.004484128952026367,0.0005108414004865513,gini,5,15,20,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 20}",0.9988600628930818,0.9832350628930817,0.9954205974842767,0.9948309748427673,0.9961829041572723,0.993705920454096,0.00541378528029148,46
0.010318851470947266,0.0056798000857867376,0.004348134994506836,0.001309937899678642,gini,5,15,30,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 15, 'min_samples_split': 30}",0.9988600628930818,0.9832350628930817,0.9954205974842767,0.9948309748427673,0.9961829041572723,0.993705920454096,0.00541378528029148,46
0.0078108787536621095,0.0007144816883249943,0.005078315734863281,0.0016431877174278096,gini,5,20,10,"{'criterion': 'gini', 'max_depth': 5, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.9953616352201259,0.986497641509434,0.9938482704402516,0.9942216981132075,0.9993275582453226,0.9938513607056685,0.004158942508969421,37
