mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_criterion,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.01609210968017578,0.01077910983495066,0.0060294151306152345,0.0011759810586399815,gini,3,1,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9954599056603775,0.988934748427673,0.9829009433962264,0.9803262578616352,0.9955500177999289,0.9886343746291683,0.006267395897307815,225
0.010858678817749023,0.0020253323304682404,0.0065554618835449215,0.0017673306592309625,gini,3,1,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9954599056603775,0.988934748427673,0.9829009433962264,0.9803262578616352,0.9955500177999289,0.9886343746291683,0.006267395897307815,225
0.009678459167480469,0.0010055099266454964,0.005721950531005859,0.0012725315334437856,gini,3,1,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9954599056603775,0.988934748427673,0.9829009433962264,0.9803262578616352,0.9955500177999289,0.9886343746291683,0.006267395897307815,225
0.008011102676391602,0.0003930481662501681,0.005930471420288086,0.0021449497647358495,gini,3,1,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 1, 'min_samples_split': 15}",0.9954599056603775,0.988934748427673,0.9829009433962264,0.9803262578616352,0.9955500177999289,0.9886343746291683,0.006267395897307815,225
0.009510564804077148,0.000843910646099225,0.004386425018310547,0.00043783617858835904,gini,3,5,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 2}",0.9954599056603775,0.9892295597484277,0.9863011006289308,0.9879716981132076,0.9955500177999289,0.9909024563901745,0.0038711903337712425,168
0.0066623687744140625,0.0012336476482752256,0.0038691997528076173,0.0006640453439948084,gini,3,5,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 5}",0.9954599056603775,0.9892295597484277,0.9863011006289308,0.9879716981132076,0.9955500177999289,0.9909024563901745,0.0038711903337712425,168
0.0069296836853027345,0.0008869875269801,0.004602622985839844,0.0007063099506854704,gini,3,5,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 10}",0.9954599056603775,0.9892295597484277,0.9863011006289308,0.9879716981132076,0.9955500177999289,0.9909024563901745,0.0038711903337712425,168
0.006426191329956055,0.00112287318205565,0.003700447082519531,0.0007136475667503671,gini,3,5,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 5, 'min_samples_split': 15}",0.9954599056603775,0.9892295597484277,0.9863011006289308,0.9879716981132076,0.9955500177999289,0.9909024563901745,0.0038711903337712425,168
0.006469249725341797,0.0015948130596999742,0.0034243583679199217,0.0004817648520237983,gini,3,10,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 2}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,172
0.005719614028930664,0.0008366201011050881,0.003313922882080078,0.0006178595024721661,gini,3,10,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 5}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,172
0.006474685668945312,0.0006507869167874247,0.003621816635131836,0.0005970682540991788,gini,3,10,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 10}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,172
0.0054089069366455075,0.001423361701579222,0.0026827335357666017,0.0009174692326862187,gini,3,10,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 10, 'min_samples_split': 15}",0.9954599056603775,0.9891312893081762,0.9862421383647798,0.9879716981132076,0.9955500177999289,0.9908710098492941,0.003893845592506927,172
0.0050757408142089845,0.0005919560152967928,0.002540111541748047,0.0004367650072131794,gini,3,20,2,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 2}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,116
0.005776119232177734,0.0009901213681271256,0.003467416763305664,0.0007304821959679372,gini,3,20,5,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 5}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,116
0.004514074325561524,0.0005397626365294706,0.002440023422241211,0.0006261768915975815,gini,3,20,10,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 10}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,116
0.006772279739379883,0.0015153066680262334,0.005584621429443359,0.0022671043670289314,gini,3,20,15,"{'criterion': 'gini', 'max_depth': 3, 'min_samples_leaf': 20, 'min_samples_split': 15}",0.9949685534591196,0.989249213836478,0.9857704402515723,0.9904677672955975,0.995470907005261,0.9911853763696057,0.0036404236846809828,116
